ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
401935	101	S	4	75	67000	1.90	430.23	37.734313	-122.406375	.755	ML	4	On Bayshore Blvd between Silver	DT228	L4-S-34-101-00190		
401936	101	S	4	85	49670	47.82	397.493	37.407282	-122.06515	.6	ML	4	S of Moffet Blvd rm-s-diag	E37GG	L4-S-37-101-04782		
401937	101	S	4	85	49670	48.52	398.193	37.411338	-122.076826	.385	ML	4	S Shoreline Boulevard rm-s-diag	E33G1	L4-S-37-101-04852		
401942	280	N	4	85	68000	2.85	2.85	37.322594	-121.897858	.41	ML	6	200' S of Bird Ave	DT883	L6-N-37-280-00285		
401943	280	S	4	85	68000	2.85	2.85	37.322361	-121.8978	.41	ML	4	200' S of Bird Ave	DT883	L4-S-37-280-00285		
401948	101	N	4	85	49670	48.21	397.847	37.409514	-122.071728	.43	ML	5	Moffet Blvd rm-n-lp	E37T5	L5-N-37-101-04821		
401949	101	N	4	85	49670	48.94	398.577	37.414582	-122.083368	.505	ML	5	Shoreline Blvd rm-n-coil	DT684	L5-N-37-101-04894		
401950	680	S	4	13	68378	4.19	35.607	37.777214	-121.975415	.18	ML	4	N of Crow Canyon Rd rm-s-lp	DT682	L4-S-28-680-00419		
401951	4	W	4	13		12.74	12.559	37.995087	-122.068695	.24	ML	2	Pacheco Blvd off ramp	DT691	L2-W-28-004-01274		
401952	4	E	4	13		12.74	12.559	37.994924	-122.068545	1.05	ML	2	Pacheco Blvd off ramp	DT691	L2-E-28-004-01274		
401953	4	E	4	13	57456	24.32	24.135	38.011725	-121.867002	.755	ML	2	Loveridge Rd on ramp	DT692	L2-E-28-004-02432		
401954	4	W	4	13	57456	24.32	24.135	38.011832	-121.866961	.825	ML	2	Loveridge Rd on ramp	DT692	L2-W-28-004-02432		
401955	680	N	4	13	68378	3.80	35.217	37.771977	-121.972497	.27	ML	5	500' S of Norris Canyon Rd		L5-N-28-680-00380		
401956	680	S	4	13	68378	3.80	35.217	37.771896	-121.972761	.27	ML	5	500' S of Norris Canyon Rd	DT124	L5-S-28-680-00380		
401957	87	N	4	85	68000	1.05	1.05	37.270409	-121.860854	.375	ML	3	2200' S of Capital Expressway	DT127	L3-N-37-087-00105		
401958	87	S	4	85	68000	1.05	1.05	37.270378	-121.861311	.375	ML	3	2200' S of Capital Expressway	DT127	L3-S-37-087-00105		
401994	101	N	4	85	69084	42.68	392.317	37.385523	-121.975872	.945	ML	4	Great America Pkway rm-n-loop	E37MI	L4-N-37-101-04268		
401995	101	N	4	85	69084	42.78	392.417	37.386009	-121.977583	.3	ML	4	Great America Pkway rm-n-diag	E37MJ	L4-N-37-101-04278		
401996	101	N	4	85	77000	45.00	394.637	37.396411	-122.015716	.35	ML	4	Fair Oaks rm-n-diag	E37MH	L4-N-37-101-04500		
401997	101	N	4	85	77000	45.57	395.207	37.398597	-122.025693	.34	ML	4	Mathilda Ave rm-n-loop	E37MG	L4-N-37-101-04557		
401998	101	N	4	85	49670	47.02	396.657	37.404178	-122.05107	.81	ML	4	Ellis St rm-n-diag	E37MF	L4-N-37-101-04702		
401999	680	S	4	13	17988	8.44	39.832	37.831798	-122.004468	.26	ML	4	El Cerro Blvd	DT523	L4-S-28-680-00844		
402000	101	S	4	85	49670	49.50	399.173	37.419828	-122.091045	.76	ML	4	S of Renstorff Ave rm-s-diag		L4-S-37-101-04950		
402001	80	W	4	95		8.17	35.642	38.17016	-122.199253	2.41	ML	4	American Canyon Rd	DT143	L4-W-23-080-00817		
402002	80	E	4	95		8.17	35.642	38.169958	-122.198969	2.45	ML	4	American Canyon Rd	DT143	L4-E-23-080-00817		
402003	80	W	4	95	23182	17.49	44.973	38.253226	-122.066886	1.45	ML	4	Oliver Rd	DT146	L4-W-23-080-01749		
402004	80	E	4	95	23182	17.49	44.973	38.253081	-122.066699	.345	ML	4	Oliver Rd	DT146	L4-E-23-080-01749		
402005	101	S	4	97	56784	3.81	471.844	38.2353	-122.619054	.75	ML	2	Lakeview Rd	DT149	L2-S-20-101-00381		
402006	580	E	4	1		12.47	28.502	37.700968	-121.772462	.22	ML	4	N Livermore Ave rm-e-diag		L4-E-33-580-01247		
402007	580	W	4	1	41992	15.04	31.224	37.701121	-121.819063	.235	ML	4	W of Airway Blvd rm-w-diag	DT316	L4-W-33-580-01504		
402008	101	N	4	85		3.07	352.328	36.95979	-121.551037	.48	ML	2	250' S of Rte 25 Intersection	DT652	L2-N-37-101-00307		
402009	101	S	4	85		3.07	352.364	36.95978	-121.551249	.48	ML	2	250' S of Rte 25 Intersection	DT652	L2-S-37-101-00307		
402010	101	S	4	85	29504	5.84	355.147	36.999566	-121.556242	.6	ML	3	1200' S of Rte 152 Intersection	DT653	L3-S-37-101-00584		
402011	101	N	4	85	29504	5.84	355.111	36.9996	-121.555853	.6	ML	3	1200' S of Rte 152 Intersection	DT653	L3-N-37-101-00584		
402012	580	W	4	1	57792	21.54	37.724	37.698503	-121.937095	.325	ML	4	San Raman Rd rm-w-diag	E33MM	L4-W-33-580-02154		
402014	101	N	4	85	29504	6.05	355.321	37.002645	-121.556129	.74	ML	3	EB 152 to NB 101 loop	DT655	L3-N-37-101-00605		
402015	580	E	4	1	57792	21.41	37.442	37.698211	-121.934682	.73	ML	4	Foothill Rd rm-e-diag	E33MN	L4-E-33-580-02141		
402016	580	W	4	1	57792	19.75	35.934	37.70183	-121.90489	.325	ML	5	Dougherty Rd rm-w-loop	E33MP	L5-W-33-580-01975		
402017	580	E	4	1	57792	20.15	36.182	37.701638	-121.912277	.365	ML	3	2800'E of Hwy 680	E33MO	L3-E-33-580-02015		
402018	580	W	4	1	57792	19.91	36.094	37.701839	-121.907813	.3	ML	4	Dougherty Rd rm-w-diag	E33MQ	L4-W-33-580-01991		
402019	580	W	4	1	57792	17.93	34.114	37.701573	-121.871745	.375	ML	4	E of Santa Rita Rd rm-w-loop	TVA49	L4-W-33-580-01793		
402020	580	W	4	1	57792	17.95	34.134	37.701578	-121.872112	.315	ML	5	W of Tasajara Rd rm-w-diag	DT147	L5-W-33-580-01795		
402027	580	W	4	1		12.57	28.754	37.700891	-121.774267	.43	ML	4	N. Livermore Ave rm-w-diag		L4-W-33-580-01257		
402028	580	W	4	1	41992	10.67	26.854	37.702801	-121.739963	.18	ML	4	First St rm-w-diag		L4-W-33-580-01067		
402029	580	W	4	1	41992	9.77	25.954	37.708574	-121.725238	.225	ML	4	Vasco Rd rm-w-diag		L4-W-33-580-00977		
402030	580	E	4	1	41992	10.57	26.602	37.702966	-121.738126	.32	ML	5	First St rm-e-diag		L5-E-33-580-01057		
402031	580	E	4	1	41992	9.58	25.583	37.709831	-121.72158	.524	ML	5	Vasco Rd rm-e-diag		L5-E-33-580-00958		
402032	580	E	4	1	41992	8.55	24.553	37.716692	-121.705048	.495	ML	5	Southfront Rd rm-e-diag		L5-E-33-580-00855		
402033	580	W	4	1	41992	8.54	24.695	37.717123	-121.704989	.27	ML	4	Northfront Rd rm-w-diag		L4-W-33-580-00854		
402038	37	W	4	41	52582	13.11	1.904	38.098652	-122.520221	2.249	ML	2	Renaissance Rd off e diag		L2-W-27-037-01311		
402039	37	E	4	41	52582	13.11	1.904	38.098527	-122.520036	2.249	ML	2	Renaissance Rd off e diag		L2-E-27-037-01311		
402040	37	W	4	41	52582	13.80	2.594	38.105801	-122.511444	1.162	ML	2	Harbor Dr on e Hook		L2-W-27-037-01380		
402041	37	E	4	41	52582	13.80	2.594	38.105662	-122.511247	1.162	ML	2	Harbor Dr on e Hook		L2-E-27-037-01380		
402042	37	W	4	97	52582	0.63	4.041	38.121611	-122.497174	3.025	ML	2	1/3m E of the beginning of the b		L2-W-20-037-00063		
402043	37	E	4	97	52582	0.63	4.041	38.121444	-122.497006	3.025	ML	2	1/3m E of the beginning of the b		L2-E-20-037-00063		
402044	37	W	4	97		5.42	8.831	38.15484	-122.422075	3.22	ML	1	Noble Rd		L1-W-20-037-00542		
402045	37	E	4	97		5.42	8.831	38.154841	-122.422072	3.22	ML	1	Noble Rd		L1-E-20-037-00542		
402046	37	W	4	95	81666	7.24	16.739	38.117602	-122.289241	2.84	ML	2	Just in front of the overpass of		L2-W-23-037-00724		
402047	37	E	4	95	81666	7.24	16.739	38.117426	-122.289217	2.84	ML	2	Just in front of the overpass of		L2-E-23-037-00724		
402048	37	W	4	95	81666	10.95	20.443	38.141456	-122.232308	.71	ML	2	Exit Marine World Pkwy on the le		L2-W-23-037-01095		
402049	37	E	4	95	81666	10.95	20.443	38.141243	-122.232302	.71	ML	2	Exit Marine World Pkwy on the le		L2-E-23-037-01095		
402050	37	W	4	95	81666	11.62	21.113	38.140802	-122.221723	.716	ML	3	Columbus to 37 West		L3-W-23-037-01162		
402051	37	E	4	95	81666	11.62	21.113	38.140566	-122.222246	.812	ML	4	Columbus to 37 West		L4-E-23-037-01162		
402052	80	W	4	95	81666	5.77	33.242	38.140604	-122.219238	.28	ML	6	80W bright after call box SO 80		L6-W-23-080-00577		
402053	80	E	4	95	81666	5.77	33.242	38.14053	-122.218983	.305	ML	6	80W bright after call box SO 80		L6-E-23-080-00577		
402054	80	W	4	95	81666	6.07	33.542	38.144611	-122.217158	.24	ML	6	80 WB to W37 con w diag		L6-W-23-080-00607		
402055	80	E	4	95	81666	6.07	33.542	38.144542	-122.216916	.365	ML	7	80 WB to W37 con w diag		L7-E-23-080-00607		
402056	87	N	4	85	68000	5.56	5.56	37.329043	-121.895498	.45	ML	3	Park Ave rm n diag		L3-N-37-087-00556		
402057	87	S	4	85	68000	6.09	6.09	37.336501	-121.897652	.44	ML	4	Julian St rm s diag		L4-S-37-087-00609		
402058	87	S	4	85	68000	6.14	6.14	37.337199	-121.897882	.305	ML	3	Julian St rm s loop		L3-S-37-087-00614		
402059	87	N	4	85	68000	6.16	6.16	37.337511	-121.897833	.57	ML	4	Julian St in diag		L4-N-37-087-00616		
402060	85	N	4	85		20.20	20.376	37.356655	-122.062397	2.995	ML	3	N of Freemont Ave		L3-N-37-085-02020		
402061	85	S	4	85		20.20	20.376	37.356616	-122.06262	2.5	ML	3	N of Freemont Ave		L3-S-37-085-02020		
402062	80	E	4	13	60620	0.06	13.393	37.89875	-122.309494	.237	ML	4	Central Ave		L4-E-28-080-00006		
402067	280	S	4	85	68000	2.87	2.87	37.322223	-121.89812	.56	ML	4	South of Bird Ave diag off ramp		L4-S-37-280-00287		
402068	4	W	4	13	2252	25.10	24.915	38.008296	-121.853335	.59	ML	2	E of Century Blvd		L2-W-28-004-02510		
402069	4	E	4	13	2252	25.10	24.915	38.008132	-121.853402	.59	ML	2	E of Century Blvd		L2-E-28-004-02510		
402070	4	W	4	13	2252	31.10	30.915	37.999058	-121.755281	.335	ML	2	E of Oakley Rd		L2-W-28-004-03110		
402071	4	E	4	13	2252	31.10	30.915	37.999049	-121.755035	.27	ML	2	E of Oakley Rd		L2-E-28-004-03110		
402072	680	S	4	13	83346	13.94	23.478	37.62129	-121.87982	5	ML	6	Olympic Blvd rm-s-lp		L6-S-33-680-01394		
402077	80	W	4	95	81666	5.51	32.982	38.137239	-122.221394	1.185	ML	4	W37 conn-w-fly		L4-W-23-080-00551		
402078	80	W	4	95	81666	5.51	32.982	38.137239	-122.221394		FF	1	W37 conn-w-fly		C1-W-23-080-00551		
402079	80	E	4	95	81666	5.46	32.932	38.136531	-122.221583	.61	ML	3	SR37 conn-e-fly/diag		L3-E-23-080-00546		
402080	80	E	4	95	81666	5.46	32.932	38.136531	-122.221583		FF	3	SR37 conn-e-fly/diag		C3-E-23-080-00546		
402085	4	W	4	13	2252	31.11	30.925	37.999201	-121.755245	.415	ML	3	E of Hwy 160 overpass		L3-W-28-004-03111		
402086	4	E	4	13	2252	31.11	30.925	37.999192	-121.754995	.415	ML	3	E of Hwy 160 overpass		L3-E-28-004-03111		
402087	4	W	4	13	53070	31.54	31.746	38.005137	-121.746302	.655	ML	3	3000' W of Laurel Rd		L3-W-28-004-03154		
402088	4	E	4	13	53070	31.54	31.746	38.005137	-121.746299	.775	ML	3	3000' W of Laurel Rd		L3-E-28-004-03154		
402089	4	W	4	13	53070	32.04	32.246	38.005144	-121.737232	.12	ML	2	Laurel Rd rm-w-diag		L2-W-28-004-03204		
402090	4	W	4	13	53070	32.03	32.236	38.005145	-121.737413	.25	ML	2	Laurel Rd rm-e-loop		L2-W-28-004-03203		
402091	4	E	4	13	53070	32.27	32.476	38.004512	-121.73336	.595	ML	2	Laurel Rd rm-e-diag		L2-E-28-004-03227		
402092	4	W	4	13	53070	32.27	32.476	38.004476	-121.733312	.345	ML	2	Laurel Rd rm-e-diag		L2-W-28-004-03227		
